Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/14,47.571422,-122.34976,206
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/15,47.57141,-122.347968,155
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/15,47.571422,-122.34976,137
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/16,47.57141,-122.347968,221
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/16,47.571422,-122.34976,257
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/17,47.57141,-122.347968,250
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/17,47.571422,-122.34976,281
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/18,47.57141,-122.347968,259
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/18,47.571422,-122.34976,260
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/19,47.57141,-122.347968,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/4/19,47.571422,-122.34976,200
